id,date,set,song,time,location
1196,10/29/1988,3,Donna Lee ,373,463
1197,10/29/1988,3,Run Like an Antelope ,581,463
1198,10/29/1988,3,I Didn't Know ,375,463
1199,10/29/1988,3,Peaches en Regalia ,201,463
1200,10/29/1988,3,Funky Bitch ,371,463
1201,10/29/1988,3,Wilson ,323,463
1202,11/3/1988,1,Fire ,264,339
1203,11/3/1988,1,Golgi Apparatus ,364,339
1204,11/3/1988,1,Alumni Blues > Letter to Jimmy Page > Alumni Blues ,367,339
1205,11/3/1988,1,Fluffhead ,908,339
1206,11/3/1988,1,Possum ,440,339
1207,11/3/1988,1,Fee ,335,339
1208,11/3/1988,1,Good Times Bad Times ,336,339
1209,11/3/1988,2,Time Loves a Hero ,257,339
1210,11/3/1988,2,Walk Away ,284,339
1211,11/3/1988,2,The Lizards ,647,339
1212,11/3/1988,2,Whipping Post ,600,339
1213,11/3/1988,2,Contact ,477,339
1214,11/3/1988,2,Bold As Love ,376,339
1215,11/3/1988,2,Take the 'A' Train ,281,339
1216,11/3/1988,2,Run Like an Antelope ,600,339
1217,11/3/1988,3,Suzy Greenberg ,340,339
1218,11/3/1988,3,Foam ,429,339
1219,11/3/1988,3,I Didn't Know ,287,339
1220,11/3/1988,3,Big Black Furry Creature from Mars ,182,339
1221,11/3/1988,3,Harpua ,675,339
1222,11/3/1988,3,David Bowie ,562,339
1223,11/5/1988,1,Slave to the Traffic Light ,420,220
1224,11/5/1988,1,Time Loves a Hero ,237,220
1225,11/5/1988,1,Fire ,317,220
1226,11/5/1988,1,Alumni Blues > Letter to Jimmy Page > Alumni Blues ,360,220
1227,11/5/1988,1,You Enjoy Myself ,907,220
1228,11/5/1988,1,Possum ,404,220
1229,11/5/1988,1,Take the 'A' Train ,322,220
1230,11/5/1988,1,Golgi Apparatus ,300,220
1231,11/5/1988,1,Walk Away ,231,220
1232,11/5/1988,1,Fluffhead ,915,220
1233,11/5/1988,1,David Bowie ,754,220
1234,11/5/1988,2,Wilson ,225,220
1235,11/5/1988,2,Peaches en Regalia ,205,220
1236,11/5/1988,2,Bold As Love ,422,220
1237,11/5/1988,2,The Lizards ,654,220
1238,11/5/1988,2,AC/DC Bag ,359,220
1239,11/5/1988,2,Fee ,311,220
1240,11/5/1988,2,Mike's Song ,323,220
1241,11/5/1988,2,I Am Hydrogen ,138,220
1242,11/5/1988,2,Weekapaug Groove ,411,220
1243,11/5/1988,2,I Didn't Know ,269,220
1244,11/5/1988,2,Good Times Bad Times ,338,220
1245,11/5/1988,3,Icculus ,300,220
1246,11/5/1988,3,Suzy Greenberg ,344,220
1247,11/5/1988,3,Sparks ,156,220
1248,11/5/1988,3,Divided Sky ,396,220
1249,11/11/1988,1,David Bowie ,703,377
1250,11/11/1988,2,Mike's Song ,325,377
1251,11/11/1988,2,I Am Hydrogen ,123,377
1252,11/11/1988,2,Weekapaug Groove ,463,377
1253,11/11/1988,3,Mr. P.C. ,459,377
1254,11/11/1988,3,Fee ,356,377
1255,11/11/1988,3,Bold As Love ,361,377
1256,11/11/1988,3,The Lizards ,622,377
1257,11/11/1988,3,Whipping Post ,741,377
1258,12/10/1988,1,I Didn't Know ,236,593
1259,12/10/1988,1,Golgi Apparatus ,314,593
1260,12/10/1988,1,David Bowie ,816,593
1261,12/10/1988,2,Alumni Blues > Letter to Jimmy Page > Alumni Blues ,323,593
1262,12/10/1988,1,The Lizards ,696,593
1263,12/10/1988,1,Foam ,448,593
1264,12/10/1988,1,Fee ,309,593
1265,12/10/1988,1,Mike's Song ,331,593
1266,12/10/1988,1,I Am Hydrogen ,135,593
1267,12/10/1988,1,Weekapaug Groove ,545,593
1268,12/10/1988,1,Wilson ,285,593
1269,12/10/1988,1,Colonel Forbin's Ascent ,389,593
1270,12/10/1988,1,Fly Famous Mockingbird ,409,593
1271,12/10/1988,2,You Enjoy Myself ,954,593
1272,12/10/1988,2,Contact ,445,593
1273,12/10/1988,2,The Sloth ,323,593
1274,12/10/1988,2,AC/DC Bag ,315,593
1275,12/10/1988,2,Possum ,566,593
1276,12/10/1988,2,Good Times Bad Times ,391,593
1277,12/10/1988,E,Run Like an Antelope ,519,593
1278,12/17/1988,1,Divided Sky ,819,377
1279,12/17/1988,1,You Enjoy Myself ,977,377
1280,12/17/1988,1,Slave to the Traffic Light ,395,377
1281,12/17/1988,1,Foam ,473,377
1282,12/17/1988,1,Possum ,523,377
1283,12/17/1988,1,Colonel Forbin's Ascent ,348,377
1284,12/17/1988,1,Fly Famous Mockingbird ,421,377
1285,12/17/1988,1,David Bowie ,731,377
1286,1/26/1989,1,I Didn't Know ,242,589
1287,1/26/1989,1,Golgi Apparatus ,294,589
1288,1/26/1989,1,Alumni Blues > Letter to Jimmy Page > Alumni Blues ,370,589
1289,1/26/1989,1,You Enjoy Myself ,995,589
1290,1/26/1989,1,The Lizards ,608,589
1291,1/26/1989,1,Take the 'A' Train ,338,589
1292,1/26/1989,1,Sanity ,235,589
1293,1/26/1989,1,Divided Sky ,765,589
1294,1/26/1989,1,Fee ,367,589
1295,1/26/1989,1,Good Times Bad Times ,364,589
1296,2/6/1989,1,Suzy Greenberg ,361,564
1297,2/6/1989,1,The Curtain ,383,564
1298,2/6/1989,1,Wilson ,257,564
1299,2/6/1989,1,Peaches en Regalia ,193,564
1300,2/6/1989,1,Fee ,302,564
1301,2/6/1989,1,La Grange ,321,564
1302,2/6/1989,1,You Enjoy Myself ,888,564
1303,2/6/1989,2,All Blues ,178,564
1304,2/6/1989,2,Sanity ,230,564
1305,2/6/1989,2,Take the 'A' Train ,312,564
1306,2/6/1989,2,Golgi Apparatus ,262,564
1307,2/6/1989,2,Divided Sky ,705,564
1308,2/6/1989,2,On Your Way Down ,310,564
1309,2/6/1989,2,I Didn't Know ,230,564
1310,2/6/1989,3,Good Times Bad Times ,231,564
1311,2/6/1989,3,Walk Away ,224,564
1312,2/6/1989,3,Harry Hood ,620,564
1313,2/6/1989,3,Big Black Furry Creature from Mars ,218,564
1314,2/6/1989,3,The Ballad of Curtis Loew ,319,564
1315,2/6/1989,3,Colonel Forbin's Ascent ,345,564
1316,2/6/1989,3,Fly Famous Mockingbird ,398,564
1317,2/6/1989,3,Whipping Post ,502,564
1318,2/6/1989,3,Corinna ,308,564
1319,2/6/1989,E,David Bowie ,722,564
1320,2/7/1989,1,Esther ,604,564
1321,2/7/1989,1,McGrupp and the Watchful Hosemasters ,583,564
1322,2/7/1989,1,Foam ,479,564
1323,2/7/1989,1,The Sloth ,318,564
1324,2/7/1989,2,Alumni Blues > Letter to Jimmy Page > Alumni Blues ,340,564
1325,2/7/1989,1,Possum ,430,564
1326,2/7/1989,1,Mike's Song ,458,564
1327,2/7/1989,1,I Am Hydrogen ,142,564
1328,2/7/1989,1,Weekapaug Groove ,392,564
1329,2/7/1989,1,Golgi Apparatus ,301,564
1330,2/7/1989,2,Makisupa Policeman ,269,564
1331,2/7/1989,2,Dinner and a Movie ,297,564
1332,2/7/1989,2,AC/DC Bag ,373,564
1333,2/7/1989,2,The Lizards ,615,564
1334,2/7/1989,2,Timber (Jerry) ,370,564
1335,2/7/1989,2,Contact ,396,564
1336,2/7/1989,2,Fee ,346,564
1337,2/7/1989,2,Run Like an Antelope ,618,564
1338,2/7/1989,3,Sanity ,250,564
1339,2/7/1989,3,Fluffhead ,954,564
1340,2/7/1989,3,Suzy Greenberg ,361,564
1341,2/7/1989,3,Slave to the Traffic Light ,381,564
1342,2/7/1989,3,Bike ,176,564
1343,2/7/1989,3,Whipping Post ,210,564
1344,2/7/1989,E,Fire ,316,564
1345,2/18/1989,1,Colonel Forbin's Ascent,347,377
1346,2/18/1989,1,Fly Famous Mockingbird,443,377
1347,2/18/1989,1,The Lizards,612,377
1348,2/18/1989,1,Walk Away,214,377
1349,2/18/1989,1,Possum,459,377
1350,2/18/1989,1,Good Times Bad Times,215,377
1351,2/18/1989,2,Golgi Apparatus,199,377
1352,2/18/1989,2,Wilson,269,377
1353,2/18/1989,2,Peaches en Regalia,205,377
1354,2/18/1989,2,You Enjoy Myself,1048,377
1355,2/18/1989,2,La Grange,277,377
1356,2/18/1989,2,Contact,372,377
1357,2/18/1989,2,David Bowie,690,377
1358,2/18/1989,3,AC/DC Bag,204,377
1359,2/24/1989,1,The Man Who Stepped Into Yesterday ,193,564
1360,2/24/1989,1,Avenu Malkenu ,173,564
1361,2/24/1989,1,The Man Who Stepped Into Yesterday ,71,564
1362,2/24/1989,1,The Curtain ,361,564
1363,2/24/1989,1,Foam ,549,564
1364,2/24/1989,1,Colonel Forbin's Ascent ,372,564
1365,2/24/1989,1,Fly Famous Mockingbird ,372,564
1366,2/24/1989,1,Run Like an Antelope ,508,564
1367,2/24/1989,1,Possum ,474,564
1368,2/24/1989,2,On Your Way Down ,294,564
1369,2/24/1989,2,AC/DC Bag ,311,564
1370,2/24/1989,2,You Enjoy Myself ,974,564
1371,2/24/1989,2,Camel Walk ,220,564
1372,3/3/1989,1,Wilson,271,294
1373,3/3/1989,1,Alumni Blues > Letter to Jimmy Page > Alumni Blues,381,294
1374,3/3/1989,1,McGrupp and the Watchful Hosemasters,519,294
1375,3/3/1989,1,You Enjoy Myself,925,294
1376,3/3/1989,1,Foam,462,294
1377,3/3/1989,1,AC/DC Bag,365,294
1378,3/3/1989,1,The Curtain,392,294
1379,3/3/1989,1,Run Like an Antelope,596,294
1380,3/3/1989,1,I Didn't Know,212,294
1381,3/3/1989,1,Divided Sky,767,294
1382,3/3/1989,1,Good Times Bad Times,356,294
1383,3/4/1989,1,Take the 'A' Train,376,609
1384,3/4/1989,1,I Didn't Know,226,609
1385,3/4/1989,1,Mike's Song,357,609
1386,3/4/1989,1,I Am Hydrogen,134,609
1387,3/4/1989,1,Weekapaug Groove,344,609
1388,3/4/1989,1,Fee,318,609
1389,3/4/1989,1,Golgi Apparatus,293,609
1390,3/4/1989,1,Good Times Bad Times,312,609
1391,3/4/1989,2,Possum,422,609
1392,3/4/1989,2,Fluffhead,891,609
1393,3/4/1989,2,The Lizards,629,609
1394,3/4/1989,2,Run Like an Antelope,539,609
1395,3/4/1989,2,Contact,263,609
1396,3/12/1989,1,Mike's Song ,407,359
1397,3/12/1989,1,I Am Hydrogen ,155,359
1398,3/12/1989,1,Weekapaug Groove ,473,359
1399,3/12/1989,1,If I Only Had a Brain ,226,359
1400,3/12/1989,1,Alumni Blues ,228,359
1401,3/12/1989,1,Letter to Jimmy Page ,191,359
1402,3/12/1989,1,Alumni Blues ,86,359
1403,3/12/1989,1,Golgi Apparatus ,318,359
1404,3/12/1989,1,Bold As Love ,306,359
1405,3/12/1989,1,Foam ,350,359
1406,3/14/1989,1,The Curtain ,414,359
1407,3/14/1989,1,Ya Mar ,367,359
1408,3/14/1989,1,Mike's Song ,403,359
1409,3/14/1989,1,I Am Hydrogen ,153,359
1410,3/14/1989,1,Weekapaug Groove ,350,359
1411,3/14/1989,1,Fluffhead ,847,359
1412,3/14/1989,1,Contact ,219,359
1413,3/14/1989,1,AC/DC Bag ,347,359
1414,3/14/1989,1,Wilson ,281,359
1415,3/14/1989,1,You Enjoy Myself ,1097,359
1416,3/14/1989,1,Harpua ,858,359
1417,3/14/1989,1,Foam ,257,359
1418,3/24/1989,1,Possum,491,589
1419,3/24/1989,1,Mike's Song,408,589
1420,3/24/1989,1,Weekapaug Groove,353,589
1421,3/24/1989,1,Golgi Apparatus,287,589
1422,3/24/1989,1,Divided Sky,713,589
1423,3/24/1989,1,AC/DC Bag,333,589
1424,3/24/1989,1,If I Only Had a Brain,282,589
1425,3/24/1989,1,Take the 'A' Train,440,589
1426,3/24/1989,1,David Bowie,669,589
1427,3/30/1989,1,Bold As Love ,362,564
1428,3/30/1989,1,McGrupp and the Watchful Hosemasters ,587,564
1429,3/30/1989,1,Divided Sky ,779,564
1430,3/30/1989,1,The Price of Love ,332,564
1431,3/30/1989,1,On Your Way Down ,328,564
1432,3/30/1989,1,Ya Mar ,371,564
1433,3/30/1989,1,Fluffhead ,899,564
1434,3/30/1989,1,Run Like an Antelope ,562,564
1435,3/30/1989,2,The Mango Song ,408,564
1436,3/30/1989,2,Mike's Song ,293,564
1437,3/30/1989,2,I Am Hydrogen ,148,564
1438,3/30/1989,2,Weekapaug Groove ,89,564
1439,3/30/1989,2,You Enjoy Myself ,869,564
1440,3/30/1989,2,Undun ,266,564
1441,3/30/1989,2,La Grange ,346,564
1442,3/30/1989,2,Golgi Apparatus ,279,564
1443,3/30/1989,3,Peaches en Regalia ,184,564
1444,3/30/1989,3,Foam ,456,564
1445,3/30/1989,3,AC/DC Bag ,396,564
1446,3/30/1989,3,Big Black Furry Creature from Mars ,225,564
1447,3/30/1989,3,Satin Doll ,359,564
1448,3/30/1989,3,Rocky Top ,143,564
1449,3/30/1989,E,Makisupa Policeman ,396,564
1450,4/14/1989,1,AC/DC Bag ,335,532
1451,4/14/1989,1,Foam ,499,532
1452,4/14/1989,1,Walk Away ,278,532
1453,4/14/1989,1,Fluffhead ,864,532
1454,4/14/1989,1,Fee ,318,532
1455,4/14/1989,1,Halley's Comet ,326,532
1456,4/14/1989,1,Run Like an Antelope ,637,532
1457,4/14/1989,1,Contact ,455,532
1458,4/14/1989,1,Fire ,374,532
1459,4/14/1989,2,You Enjoy Myself ,986,532
1460,4/14/1989,2,Bold As Love ,319,532
1461,4/14/1989,2,The Lizards ,615,532
1462,4/14/1989,2,The Sloth ,243,532
1463,4/14/1989,2,Possum ,571,532
1464,4/14/1989,2,If I Only Had a Brain ,197,532
1465,4/14/1989,2,Mike's Song ,416,532
1466,4/14/1989,2,I Am Hydrogen ,158,532
1467,4/14/1989,2,Weekapaug Groove ,432,532
1468,4/14/1989,2,Esther ,587,532
1469,4/15/1989,2,Funky Bitch,402,68
1470,4/15/1989,2,Golgi Apparatus,287,68
1471,4/15/1989,2,Slave to the Traffic Light,432,68
1472,4/15/1989,2,The Mango Song,394,68
1473,4/15/1989,2,Divided Sky,779,68
1474,4/15/1989,2,Split Open and Melt,611,68
1475,4/15/1989,2,Suzy Greenberg,374,68
1476,4/15/1989,2,Fluffhead,951,68
1477,4/15/1989,2,Good Times Bad Times,403,68
1478,4/20/1989,1,AC/DC Bag ,301,240
1479,4/20/1989,1,Fluffhead ,442,240
1480,4/20/1989,1,You Shook Me All Night Long ,101,240
1481,4/20/1989,1,Fluffhead ,484,240
1482,4/20/1989,1,Fire ,375,240
1483,4/20/1989,1,Esther ,558,240
1484,4/20/1989,1,Suzy Greenberg ,350,240
1485,4/20/1989,1,The Sloth ,235,240
1486,4/20/1989,1,Possum ,486,240
1487,4/20/1989,1,McGrupp and the Watchful Hosemasters ,548,240
1488,4/20/1989,1,Foam ,481,240
1489,4/20/1989,1,David Bowie ,708,240
1490,4/20/1989,2,Divided Sky ,714,240
1491,4/20/1989,2,Walk Away ,308,240
1492,4/20/1989,2,You Enjoy Myself ,871,240
1493,4/20/1989,2,Split Open and Melt ,546,240
1494,4/20/1989,2,The Lizards ,610,240
1495,4/20/1989,2,Mike's Song ,383,240
1496,4/20/1989,2,I Am Hydrogen ,138,240
1497,4/20/1989,2,Weekapaug Groove ,397,240
1498,4/20/1989,2,Love You ,342,240
1499,4/20/1989,2,Harpua ,813,240
1500,4/27/1989,1,Alumni Blues > Letter to Jimmy Page > Alumni Blues,333,327
1501,4/27/1989,1,Golgi Apparatus,286,327
1502,4/27/1989,1,Jam,134,327
1503,4/27/1989,1,The Sloth,232,327
1504,4/27/1989,1,Divided Sky,791,327
1505,4/27/1989,1,Sanity,374,327
1506,4/27/1989,1,I Didn't Know,256,327
1507,4/27/1989,1,The Lizards,558,327
1508,4/27/1989,1,Whipping Post,661,327
1509,4/27/1989,E,Contact,419,327
1510,4/27/1989,E,David Bowie,749,327
1511,4/30/1989,1,I Didn't Know,257,366
1512,4/30/1989,1,You Enjoy Myself,298,366
1513,4/30/1989,1,Narration,189,366
1514,4/30/1989,1,McGrupp and the Watchful Hosemasters,508,366
1515,4/30/1989,1,The Lizards,570,366
1516,4/30/1989,1,Divided Sky,778,366
1517,4/30/1989,1,Wilson,265,366
1518,4/30/1989,1,Peaches en Regalia,209,366
1519,4/30/1989,1,Run Like an Antelope,618,366
1520,4/30/1989,1,Terrapin,316,366
1521,4/30/1989,E,Possum,482,366
1522,5/1/1989,1,Dinner and a Movie,277,399
1523,5/1/1989,1,You Enjoy Myself,945,399
1524,5/1/1989,1,Esther,598,399
1525,5/1/1989,1,AC/DC Bag,356,399
1526,5/1/1989,1,Alumni Blues,234,399
1527,5/1/1989,1,Letter to Jimmy Page,40,399
1528,5/1/1989,1,Take the 'A' Train,473,399
1529,5/1/1989,1,Split Open and Melt,420,399
1530,5/1/1989,1,The Lizards,592,399
1531,5/1/1989,1,Golgi Apparatus,285,399
1532,5/1/1989,1,Good Times Bad Times,366,399
1533,5/5/1989,1,Golgi Apparatus ,321,468
1534,5/5/1989,1,You Enjoy Myself ,952,468
1535,5/5/1989,1,Alumni Blues > Letter to Jimmy Page > Alumni Blues ,312,468
1536,5/5/1989,1,Ya Mar ,235,468
1537,5/5/1989,1,Fluffhead ,816,468
1538,5/5/1989,1,Donna Lee ,235,468
1539,5/5/1989,1,Fee ,277,468
1540,5/5/1989,1,Run Like an Antelope ,523,468
1541,5/5/1989,2,I Didn't Know ,282,468
1542,5/5/1989,2,Take the 'A' Train ,386,468
1543,5/5/1989,2,Good Times Bad Times ,293,468
1544,5/5/1989,2,McGrupp and the Watchful Hosemasters ,581,468
1545,5/6/1989,1,You Enjoy Myself,844,122
1546,5/6/1989,1,I Didn't Know,245,122
1547,5/6/1989,1,Mike's Song,391,122
1548,5/6/1989,1,I Am Hydrogen,143,122
1549,5/6/1989,1,Weekapaug Groove,424,122
1550,5/6/1989,1,Esther,546,122
1551,5/6/1989,1,The Sloth,206,122
1552,5/6/1989,1,Possum,592,122
1553,5/6/1989,1,Bold As Love,451,122
1554,5/6/1989,1,AC/DC Bag,355,122
1555,5/6/1989,1,Colonel Forbin's Ascent,454,122
1556,5/6/1989,1,Fly Famous Mockingbird,332,122
1557,5/6/1989,1,David Bowie,649,122
1558,5/6/1989,2,Donna Lee,307,122
1559,5/6/1989,2,Suzy Greenberg,316,122
1560,5/6/1989,2,Contact,388,122
1561,5/6/1989,2,Fire,330,122
1562,5/6/1989,2,Harry Hood,735,122
1563,5/6/1989,2,Golgi Apparatus,266,122
1564,5/6/1989,2,Slave to the Traffic Light,441,122
1565,5/6/1989,2,Divided Sky,743,122
1566,5/9/1989,1,Wilson,262,564
1567,5/9/1989,1,Peaches en Regalia,283,564
1568,5/9/1989,1,Ya Mar,376,564
1569,5/9/1989,1,Mike's Song,383,564
1570,5/9/1989,1,I Am Hydrogen,177,564
1571,5/9/1989,1,Weekapaug Groove,501,564
1572,5/9/1989,1,The Sloth,242,564
1573,5/9/1989,1,Possum,535,564
1574,5/9/1989,1,Divided Sky,725,564
1575,5/9/1989,2,You Enjoy Myself,1085,564
1576,5/9/1989,2,La Grange,365,564
1577,5/9/1989,2,Slave to the Traffic Light,332,564
1578,5/9/1989,2,Esther,520,564
1579,5/9/1989,2,Run Like an Antelope,574,564
1580,5/9/1989,2,I Didn't Know,157,564
1581,5/9/1989,2,I Didn't Know,142,564
1582,5/9/1989,2,Nowhere Fast > I've Turned Bad,472,564
1583,5/9/1989,2,The Lizards,593,564
1584,5/9/1989,2,Bold As Love,349,564
1585,5/9/1989,2,Harpua,956,564
1586,5/9/1989,2,Whipping Post,731,564
1587,5/13/1989,1,AC/DC Bag,318,583
1588,5/13/1989,1,Alumni Blues,200,583
1589,5/13/1989,1,Letter to Jimmy Page,61,583
1590,5/13/1989,1,Alumni Blues,43,583
1591,5/13/1989,1,You Enjoy Myself,1001,583
1592,5/13/1989,1,Golgi Apparatus,274,583
1593,5/13/1989,1,La Grange,288,583
1594,5/13/1989,1,Fluffhead,569,583
1595,5/13/1989,1,Fluffhead,303,583
1596,5/13/1989,1,Possum,530,583
1597,5/13/1989,1,Foam,428,583
1598,5/13/1989,1,Walk Away,232,583
1599,5/13/1989,1,Take the 'A' Train,384,583
1600,5/13/1989,1,Split Open and Melt,479,583
1601,5/13/1989,1,David Bowie,416,583
1602,5/13/1989,2,Suzy Greenberg,226,583
1603,5/13/1989,2,Bold As Love,345,583
1604,5/13/1989,2,The Lizards,619,583
1605,5/13/1989,2,Harry Hood,748,583
1606,5/13/1989,2,If I Only Had a Brain,290,583
1607,5/13/1989,2,Contact,398,583
1608,5/13/1989,2,Fire,293,583
1609,5/13/1989,E,Whipping Post,789,583
1610,5/20/1989,1,AC/DC Bag ,280,371
1611,5/20/1989,1,Alumni Blues > Letter to Jimmy Page > Alumni Blues ,333,371
1612,5/20/1989,1,You Enjoy Myself ,964,371
1613,5/20/1989,1,The Lizards ,666,371
1614,5/20/1989,1,Wilson ,319,371
1615,5/20/1989,1,Divided Sky ,792,371
1616,5/20/1989,1,I Didn't Know ,218,371
1617,5/20/1989,1,Possum ,504,371
1618,5/20/1989,2,Bold As Love ,312,371
1619,5/20/1989,2,Mike's Song ,405,371
1620,5/20/1989,2,I Am Hydrogen ,149,371
1621,5/20/1989,2,Weekapaug Groove ,373,371
1622,5/20/1989,2,Foam ,440,371
1623,5/20/1989,2,Contact ,451,371
1624,5/20/1989,2,Take the 'A' Train ,314,371
1625,5/20/1989,2,David Bowie ,752,371
1626,5/20/1989,2,Golgi Apparatus ,428,371
1627,5/20/1989,E,Good Times Bad Times ,300,371
1628,5/21/1989,1,Harry Hood ,592,4
1629,5/21/1989,1,Foam ,476,4
1630,5/21/1989,1,Contact ,541,4
1631,5/21/1989,1,Mike's Song ,353,4
1632,5/21/1989,1,I Am Hydrogen ,153,4
1633,5/21/1989,1,Weekapaug Groove ,389,4
1634,5/21/1989,1,Split Open and Melt ,475,4
1635,5/21/1989,1,Dazed and Confused ,365,4
1636,5/21/1989,1,The Sloth ,443,4
1637,5/21/1989,1,You Enjoy Myself ,891,4
1638,5/21/1989,1,Ya Mar ,346,4
1639,5/21/1989,1,AC/DC Bag ,347,4
1640,5/21/1989,1,Divided Sky ,653,4
1641,5/26/1989,1,Bold As Love ,293,640
1642,5/26/1989,1,AC/DC Bag ,415,640
1643,5/26/1989,1,Mike's Song ,396,640
1644,5/26/1989,1,I Am Hydrogen ,140,640
1645,5/26/1989,1,Weekapaug Groove ,398,640
1646,5/26/1989,1,Sanity ,395,640
1647,5/26/1989,1,Halley's Comet ,330,640
1648,5/26/1989,1,The Sloth ,235,640
1649,5/26/1989,1,You Enjoy Myself ,1154,640
1650,5/26/1989,2,David Bowie ,1261,640
1651,5/26/1989,2,The Mango Song ,305,640
1652,5/26/1989,2,Split Open and Melt ,227,640
1653,5/26/1989,2,Bathtub Gin ,357,640
1654,5/26/1989,2,Run Like an Antelope ,642,640
1655,5/26/1989,2,Golgi Apparatus ,275,640
1656,5/26/1989,3,Slave to the Traffic Light ,506,640
1657,5/26/1989,3,Funky Bitch ,405,640
1658,5/26/1989,3,The Ballad of Curtis Loew ,308,640
1659,5/26/1989,3,Possum ,679,640
1660,5/26/1989,E,The Practical Song ,66,640
1661,5/27/1989,1,AC/DC Bag ,314,17
1662,5/27/1989,1,Mike's Song ,358,17
1663,5/27/1989,1,I Am Hydrogen ,135,17
1664,5/27/1989,1,Weekapaug Groove ,423,17
1665,5/27/1989,1,Funky Bitch ,360,17
1666,5/27/1989,1,Fee ,310,17
1667,5/27/1989,1,You Enjoy Myself ,807,17
1668,5/27/1989,1,Take the 'A' Train ,425,17
1669,5/27/1989,1,Fluffhead ,853,17
1670,5/27/1989,1,Bathtub Gin ,427,17
1671,5/27/1989,1,Good Times Bad Times ,324,17
1672,5/28/1989,1,Divided Sky  ,838,244
1673,5/28/1989,1,Run Like an Antelope  ,681,244
1674,5/28/1989,1,Fee  ,337,244
1675,5/28/1989,1,Slave to the Traffic Light  ,422,244
1676,5/28/1989,1,Esther  ,616,244
1677,5/28/1989,1,Suzy Greenberg  ,349,244
1678,5/28/1989,1,Colonel Forbin's Ascent > Fly Famous Mockingbird  ,815,244
1679,5/28/1989,1,You Enjoy Myself  ,1122,244
1680,5/28/1989,2,Fire  ,413,244
1681,5/28/1989,2,Funky (Breakdown) > The Price of Love  ,882,244
1682,5/28/1989,2,Funky Bitch > Split Open and Melt  ,602,244
1683,5/28/1989,2,Bathtub Gin  ,349,244
1684,5/28/1989,2,Sanity  ,392,244
1685,5/28/1989,2,Ride Captain Ride  ,438,244
1686,5/28/1989,2,Peaches en Regalia  ,182,244
1687,5/28/1989,2,Take the 'A' Train  ,612,244
1688,5/28/1989,3,Jam > La Grange Jam  ,277,244
1689,5/28/1989,2,Possum  ,540,244
1690,5/28/1989,2,Contact  ,468,244
1691,5/28/1989,2,Mike's Song > I Am Hydrogen > Weekapaug Groove  ,1059,244
1692,5/28/1989,2,The Mango Song  ,509,244
1693,5/28/1989,2,Harry Hood  ,809,244
1694,5/28/1989,3,The Sloth  ,147,244
1695,5/28/1989,3,Sneakin' Sally Through the Alley  ,818,244
1696,5/28/1989,3,Ya Mar  ,465,244
1697,5/28/1989,3,Jesus Just Left Chicago  ,595,244
1698,6/10/1989,1,Run Like an Antelope ,597,573
1699,6/10/1989,1,McGrupp and the Watchful Hosemasters ,511,573
1700,6/10/1989,1,Ya Mar ,455,573
1701,6/10/1989,1,You Enjoy Myself ,1152,573
1702,6/10/1989,1,AC/DC Bag ,213,573
1703,6/10/1989,1,Foam ,522,573
1704,6/10/1989,1,Good Times Bad Times ,337,573
1705,6/23/1989,1,AC/DC Bag ,286,589
1706,6/23/1989,1,You Enjoy Myself ,958,589
1707,6/23/1989,1,Wilson ,264,589
1708,6/23/1989,1,Peaches en Regalia ,188,589
1709,6/23/1989,1,Donna Lee ,257,589
1710,6/23/1989,1,Fee ,305,589
1711,6/23/1989,1,Mike's Song ,397,589
1712,6/23/1989,1,I Am Hydrogen ,134,589
1713,6/23/1989,1,Weekapaug Groove ,403,589
1714,6/23/1989,1,The Lizards ,605,589
1715,6/23/1989,1,Run Like an Antelope ,591,589
1716,6/23/1989,E,Contact ,409,589
1717,6/23/1989,E,Good Times Bad Times ,318,589
1718,6/29/1989,1,Possum ,87,564
1719,6/29/1989,1,Divided Sky ,777,564
1720,6/29/1989,1,Foam ,406,564
1721,6/30/1989,1,Funky Bitch ,365,399
1722,6/30/1989,1,You Enjoy Myself ,865,399
1723,6/30/1989,1,McGrupp and the Watchful Hosemasters ,490,399
1724,6/30/1989,1,Possum ,520,399
1725,6/30/1989,1,Donna Lee ,227,399
1726,6/30/1989,1,Fluffhead ,816,399
1727,6/30/1989,1,Run Like an Antelope ,612,399
1728,6/30/1989,2,Walk Away ,267,399
1729,6/30/1989,2,AC/DC Bag ,353,399
1730,6/30/1989,2,The Curtain ,383,399
1731,6/30/1989,2,Slave to the Traffic Light ,491,399
1732,6/30/1989,2,Bathtub Gin ,321,399
1733,6/30/1989,2,Mike's Song ,405,399
1734,6/30/1989,2,I Am Hydrogen ,140,399
1735,6/30/1989,2,Weekapaug Groove ,347,399
1736,8/12/1989,2,Blue Sky,221,87
1737,8/12/1989,2,Suzy Greenberg,308,87
1738,8/12/1989,2,AC/DC Bag,315,87
1739,8/12/1989,2,Ya Mar,328,87
1740,8/12/1989,2,Rocky Top,306,87
1741,8/12/1989,2,On Your Way Down,386,87
1742,8/12/1989,2,Night and Day,277,87
1743,8/12/1989,2,Blue Monk,379,87
1744,8/12/1989,2,I Didn't Know,241,87
1745,8/12/1989,2,You Enjoy Myself,772,87
1746,8/12/1989,2,Possum,421,87
1747,8/12/1989,3,Icculus,257,87
1748,8/12/1989,3,Run Like an Antelope,556,87
1749,8/17/1989,1,Ya Mar ,367,564
1750,8/17/1989,1,Suzy Greenberg ,290,564
